CONFIG_END	pc	cacr	tc
CONFIG_END	800C440E	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	524160000	524160000	524160000
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	524160000	84831590	6.178830	57523785	73871773	3604744
STATE	id	cycles	entries	percent
OPCODE	4CDF	279568	0.329556
OPCODE	6C04	270370	0.318714
OPCODE	34C0	263090	0.310132
OPCODE	51CB	259376	0.305754
OPCODE	4A42	256717	0.302620
OPCODE	2011	255632	0.301341
OPCODE	2480	253058	0.298306
OPCODE	264F	252653	0.297829
OPCODE	22D2	252360	0.297484
OPCODE	342E	251818	0.296845
OPCODE	6708	248229	0.292614
OPCODE	0C50	245620	0.289538
OPCODE	7000	240848	0.283913
OPCODE	6F04	237931	0.280475
OPCODE	C084	237131	0.279531
OPCODE	2040	236273	0.278520
OPCODE	34C1	233422	0.275159
OPCODE	72FF	226511	0.267013
OPCODE	9980	226364	0.266839
OPCODE	1981	226364	0.266839
OPCODE	D9CB	226364	0.266839
OPCODE	DA47	226364	0.266839
OPCODE	246E	215778	0.254360
OPCODE	4ED0	213856	0.252095
OPCODE	DA87	212896	0.250963
OPCODE	D986	212895	0.250962
OPCODE	D3CA	212895	0.250962
OPCODE	91CA	212895	0.250962
OPCODE	D584	212895	0.250962
OPCODE	701F	212546	0.250551
OPCODE	4ED4	212221	0.250167
OPCODE	C240	210685	0.248357
OPCODE	E0A9	210080	0.247644
OPCODE	4E5E	209912	0.247446
OPCODE	4E56	209910	0.247443
OPCODE	DFAE	209693	0.247187
OPCODE	2050	207557	0.244669
OPCODE	8081	207097	0.244127
OPCODE	4A2E	204782	0.241398
OPCODE	6718	202748	0.239001
OPCODE	2001	201892	0.237992
OPCODE	76FF	201164	0.237133
OPCODE	C0B8	200360	0.236186
OPCODE	2D41	198648	0.234167
OPCODE	48C1	198529	0.234027
OPCODE	D4C0	198048	0.233460
OPCODE	322E	197594	0.232925
OPCODE	2018	196756	0.231937
OPCODE	B058	194590	0.229384
OPCODE	0240	191440	0.225671
OPCODE	9685	190974	0.225121
OPCODE	9A87	190974	0.225121
OPCODE	93CA	190959	0.225104
OPCODE	D1CA	190959	0.225104
OPCODE	9986	190959	0.225104
OPCODE	9584	190959	0.225104
OPCODE	47EE	186931	0.220355
OPCODE	48C2	186921	0.220344
OPCODE	9440	185190	0.218303
OPCODE	4840	184064	0.216976
OPCODE	B242	183650	0.216488
OPCODE	B46B	183526	0.216342
OPCODE	B26B	183524	0.216339
OPCODE	B05B	183276	0.216047
OPCODE	6C32	182808	0.215495
OPCODE	E1A9	182411	0.215027
OPCODE	C042	182288	0.214882
OPCODE	D2C0	181944	0.214477
OPCODE	EA80	181762	0.214262
OPCODE	EA82	181760	0.214260
OPCODE	E2AB	181760	0.214260
OPCODE	E1AA	181760	0.214260
OPCODE	C291	181760	0.214260
OPCODE	32D8	178332	0.210219
OPCODE	4841	177740	0.209521
OPCODE	2F0A	175938	0.207397
OPCODE	600C	175683	0.207096
OPCODE	B042	174984	0.206272
OPCODE	206E	174136	0.205273
OPCODE	6D00	173162	0.204124
OPCODE	245F	170541	0.201035
OPCODE	D1AE	167787	0.197788
OPCODE	4EF9	167001	0.196862
OPCODE	226E	166744	0.196559
OPCODE	4E7B	163447	0.192672
OPCODE	51C8	163301	0.192500
OPCODE	6100	162974	0.192115
OPCODE	34FC	161684	0.190594
OPCODE	B26A	159778	0.188347
OPCODE	6DF2	159767	0.188334
OPCODE	205F	156773	0.184805
OPCODE	B269	154815	0.182497
OPCODE	6604	154548	0.182182
OPCODE	6EF2	154196	0.181767
OPCODE	6000	154032	0.181574
OPCODE	0C03	153622	0.181091
OPCODE	241F	153609	0.181075
OPCODE	2078	153248	0.180650
OPCODE	2F02	153199	0.180592
OPCODE	0C42	151864	0.179018
OPCODE	24C5	150416	0.177311
OPCODE	2010	149464	0.176189
OPCODE	246F	147778	0.174202
OPCODE	341A	147369	0.173719
OPCODE	2F4A	147369	0.173719
OPCODE	6606	145351	0.171341
OPCODE	6700	140290	0.165375
OPCODE	66A0	139407	0.164334
OPCODE	654E	139148	0.164029
OPCODE	0838	139062	0.163927
OPCODE	E9D0	137219	0.161755
OPCODE	B380	136502	0.160909
OPCODE	5382	132869	0.156627
OPCODE	EFD1	132522	0.156218
OPCODE	2037	132384	0.156055
OPCODE	DC84	132192	0.155829
OPCODE	672E	129050	0.152125
OPCODE	63D0	128857	0.151897
OPCODE	3228	128821	0.151855
OPCODE	200B	126916	0.149609
OPCODE	201B	126592	0.149227
OPCODE	6ECA	123434	0.145505
OPCODE	20C0	123362	0.145420
OPCODE	2AC6	121450	0.143166
OPCODE	6702	120647	0.142219
OPCODE	2F38	119311	0.140645
OPCODE	5542	119282	0.140610
OPCODE	0800	118030	0.139134
OPCODE	6D18	116733	0.137606
OPCODE	225F	115864	0.136581
OPCODE	B3CC	114602	0.135094
OPCODE	4684	113162	0.133396
OPCODE	2819	112038	0.132071
OPCODE	CA84	112016	0.132045
OPCODE	8A84	112016	0.132045
OPCODE	C892	112016	0.132045
OPCODE	B7CC	111777	0.131763
OPCODE	2F2E	111126	0.130996
OPCODE	67F4	109941	0.129599
OPCODE	2447	109907	0.129559
OPCODE	284A	109497	0.129076
OPCODE	3203	109024	0.128518
OPCODE	6600	108873	0.128340
OPCODE	2008	107589	0.126827
OPCODE	C283	106875	0.125985
OPCODE	2A06	106391	0.125414
OPCODE	224B	105373	0.124214
OPCODE	224D	105037	0.123818
OPCODE	6D3C	104814	0.123555
OPCODE	2F08	104059	0.122665
OPCODE	5240	104015	0.122614
OPCODE	DAEE	104006	0.122603
OPCODE	2D40	103709	0.122253
OPCODE	8043	103459	0.121958
OPCODE	E290	103230	0.121688
OPCODE	244C	103185	0.121635
OPCODE	6704	102701	0.121065
OPCODE	D08C	102356	0.120658
OPCODE	3410	102339	0.120638
OPCODE	286E	101354	0.119477
OPCODE	4680	100908	0.118951
OPCODE	5341	99959	0.117832
OPCODE	2F70	97887	0.115390
OPCODE	4E74	97410	0.114828
OPCODE	0442	97250	0.114639
OPCODE	2028	97006	0.114351
OPCODE	48C0	94871	0.111835
OPCODE	6734	94712	0.111647
OPCODE	2068	93461	0.110172
OPCODE	2AC0	92732	0.109313
OPCODE	22D8	90809	0.107046
OPCODE	24D9	90069	0.106174
OPCODE	2415	89324	0.105296
OPCODE	6006	89004	0.104918
OPCODE	6714	87581	0.103241
OPCODE	282E	86412	0.101863
OPCODE	2A2E	85709	0.101034
OPCODE	670A	85079	0.100292
OPCODE	0C38	83647	0.098604
OPCODE	28C5	83557	0.098498
OPCODE	3013	83115	0.097976
OPCODE	9280	82473	0.097220
OPCODE	B06E	82352	0.097077
OPCODE	2C2E	81952	0.096606
OPCODE	2E9F	81761	0.096380
OPCODE	2228	81686	0.096292
OPCODE	2C10	80883	0.095345
OPCODE	47FA	80600	0.095012
OPCODE	2003	80195	0.094534
OPCODE	67F6	79924	0.094215
OPCODE	4A10	79622	0.093859
OPCODE	41F6	79518	0.093736
OPCODE	E580	78537	0.092580
OPCODE	6C38	78465	0.092495
OPCODE	6DF0	78304	0.092305
OPCODE	4CD3	78293	0.092292
OPCODE	545B	78293	0.092292
OPCODE	48D3	78293	0.092292
OPCODE	6712	78186	0.092166
OPCODE	C684	77568	0.091438
OPCODE	2619	77205	0.091010
OPCODE	8083	77081	0.090864
OPCODE	C091	77081	0.090864
OPCODE	5247	76938	0.090695
OPCODE	2006	76549	0.090236
